premise,hypothesis,label,explanation,label_name
Young female basketball player plans her route to the net.,A basketball player is running to dunk the ball.,1,You cant infer that her purpose is to dunk the ball,neutral
A view of a city street where many people wearing white and red are walking.,There is a view of a city street with some people wearing white and red walking.,0,The view of the city street shows many people wearing white and red walking.,entailment
Two boys make silly poses next to a sign.,Two boys pose next to a stop sign as cars pass by.,1,There is no way of knowing it was a stop sign. You can make silly poses in front of any sign.,neutral
The dog is concerned with a purple object lying in an uncut field.,Two kittens play with yarn in a bathroom,2,A dog wouldn't look like two kittens.,contradiction
A broken down car during a race,There is a car that is driving,2,A broken down car cannot still be driving.,contradiction
A young girl is climbing a rock wall.,A young girl fell down off the rock wall.,2,A girl who fell down off a rock wall can't be climbing a rock wall at the same time.,contradiction
Two young woman dressed in white shirts sit in a small space.,The women feel very close together while in this space.,0,THE WOMEN SIT TOGETHER.,entailment
A man jumps from one boulder to another and two men try to catch him as he barely makes it.,A man almost falls.,0,A man almost falling means he barely made it.,entailment
A man is sitting in a chair by a lake.,A man sits outside by a pond,1,A lake and a pond aren't the same thing,neutral
A brown-haired man with safety glasses and a green shirt grinding something with a machine,A little girl is cutting an apple.,2,man and girl are different gender,contradiction
"A thin young girl with two small wooden cages, one in each hand.",A girl preparing to collect some kittens for sale.,1,WE DON'T KNOW THAT THE GIRL HAS KITTENS FOR SALE.,neutral
A pit crew working on a race car.,They are changing tires.,1,There is more to work on in a car than just the tires.,neutral
"Surfer wearing blue long-sleeve shirt with black and white shorts, causing a splash jumping with their surfboard.",A woman fries fish.,2,either the woman is frying fish or on a surfboard,contradiction
A man wearing a cap and jacket passing by a taxi.,The man is walking down the street.,1,"We do not know where the taxi was when the man passed it, there is no evidence that it was on a street. How the man is travelling is not apparent, he may not be walking.",neutral
A man in a blue canoe paddling in the ocean.,A man paddles a canoe in the ocean.,0,Both statements have to do with a man paddling a canoe in the ocean.,entailment
A lady sits on the end of a pier high above the water.,The woman is running away from the pier.,2,One cannot sit and running simultaneously.,contradiction
Girl with shaved head walks on path beside building.,A woman is drinking coffee.,2,"It is either a girl, or a woman. They are either walking on a path, or drinking coffee.",contradiction
A man is walking across the street while it is snowing.,It is snowing outside.,0,"The man is on the street, a street is outside, it is snowing outside.",entailment
A few people standing on a street corner waiting to go across.,People are gathered on a sidewalk watching a plane fly overhead.,2,The people are either waiting or watching a plane.,contradiction
A youth standing nest to a metal fence with a black shirt on and a cigarette in their mouth.,A young man is in his bed sleeping.,2,Standing is not the same as sleeping.,contradiction
"A woman in a red jacket sitting on a stool facing a man, with her head on his shoulder.",A woman in a pretty red jacket,1,You can not infer the jacket is pretty.,neutral
"The flat side of a large, rocky mountain.",looming mountain provides climbing challenge,1,The side of a mountain does not imply the mountain provides a climbing challenge.,neutral
"Tree in the foreground, two men playing golf in the background.","A shrub is in the foreground, two women are playing croquet in the the background.",2,That's men or women.,contradiction
A swimmer from Hungary is standing near the edge of the pool.,A swimmer is standing by a pool.,0,A swimmer is standing by a pool refers to a swimmer from hungary,entailment
People walk by a large advertisement of partially naked man.,People walking close to a large advertisement depicting a half naked man and a product.,0,Half naked means partially naked.,entailment
A child splashes in a lake.,"A child plays in the lake, scaring away the fish.",1,IT IS NOT KNOWN IF THE CHILD PLAYS IN THE LAKE OR IF HE/SHE IS SCARING AWAY FISH.,neutral
two woman eating at a picnic table.,The women are holding sandwiches.,1,Just because the women are holding sandwiches does not mean they are eating at a picnic table. They could be indoors or at one of their homes.,neutral
A family poses in a snowy forest.,We went skiing at Big Bear.,2,One cannot be skiing at the same time one poses.,contradiction
A woman is walking through town out of the way of traffic where a whole bunch of taxis are collected.,girl laying in bed,2,You can either be laying in bed or walking through town.,contradiction
A man in a red shirt and jacket is looking to the side while surrounded by other men wearing helmets.,A man in a red shirt stands next to men wearing top hats.,2,"The man can only be either looking to the side, or he stands next to men.",contradiction
A person in a black jacket is snowboarding during the evening.,A person wearing a black jacket snowboards down a hill at night.,1,A person in a black jacket is snowboarding at night. Not all who snowboard at night snowboard down a hill.,neutral
A dog plays on the beach.,A dog plays by water.,1,Playing by water does not imply the dog is on the beach.,neutral
Women making clothing by hand.,Women are hand-sewing clothes,0,Making clothing by hand implies hand-sewing clothes.,entailment
People at the carnival riding an amusement ride called the Twister.,the people are at the arcade playing DDR,2,The twister is not a DDR.,contradiction
"A street performer stands on a rainy, abandoned street, on a sidewalk next to a row of parked cars.",A street performer is standing on the street.,0,Stands is the same as standing,entailment
A child is playing ice hockey,The children are skating.,0,Ice hockey is a one type of skating.,entailment
One lady is shaving the head of another lady while a group of women in watch.,A person is shaving someone.,0,person is a lady,entailment
A skier skiing down a large mountain,A skier is running down a mountain.,2,cant be both skiing and running down a mountain,contradiction
the young children are petting a piglet,The young boys are petting a piglet.,1,Not all children are boys.,neutral
"A man with an afro and wearing a blue t-shirt is playing an ""axe throw"" game that requires him to throw small axes at targets that resemble steer heads.",a stoned man plays with an axe,1,"A man who plays an axe throw game might be stoned, drunk or sober.",neutral
A man walking next to an orange van.,There is a boy walking next to an orange van.,1,Just because a man is walking next to an orange van doesn't mean there is a also a boy walking there.,neutral
A woman standing near a large amount of falling water.,"Near the large amount of walling water, a woman is standing and praying to her God.",1,Standing by falling water doesn't imply she is praying.,neutral
A girl in a pink dress playing with a toy drum set.,a boy is playing the guitar,2,There can be either a girl or a boy.,contradiction
"Young girl in pink and green bikini, swimming with a rubber ring.",The young girl is wearing a bikini.,0,girl is young,entailment
A silhouette of a person standing in front of a water display shooting many streams high into the air.,A silhouette of a gorgeous girl standing in front of a water display.,1,just because a silhouette of a person standing in front of a water display shooting many streams high into the mean she is a gorgeous girl standing in front of a water display.,neutral
A man in a pair of jeans and a yellow shirt with a paper hanging out of his back pocket enjoys a laugh with a man in jeans and a white shirt at what looks like a meeting coming to an end.,Two woman are talking about their day over coffee at a cafe.,2,Man refers to male and not a woman.,contradiction
A Special Olympics contestant runs on a racetrack.,Someone running on a racetrack.,0,A contestant is someone.,entailment
Speed racers on bikes moving threw a curve in the track.,People racing on a track,0,"Speed racers are people, moving through a curve in the track is the same as racing on the track.",entailment
"A man holding a blue backpack, reading the paper, and a woman wearing a black coat wait for their train.",The woman is old.,1,Not all woman are old.,neutral
Two construction workers cutting a piece of concrete road.,Two construction workers remove damaged concrete from a road.,1,The purpose of cutting concrete might not always be to remove damaged concrete.,neutral
Children playing games in the street.,Children playing street hockey in their neighborhood,1,Street hockey isn't the only game children play. Just because children are playing in the street doesn't mean it is in their neighborhood.,neutral
A man wearing a blue shirt and black pants is working on an unfinished tile roof of a building.,The man is napping in his bed,2,One cannot be working and napping simultaneously.,contradiction
A running man receives a bottle of water while running past a group of men.,The man is walking.,2,A man cannot walk and be running past a group of men at the same time.,contradiction
Six children are sitting in two rows with plastic bags on the desk in front of them.,3 children are walking around with plastic bags.,2,"Six children is more than three children, and they cannot be walking and sitting simultaneously.",contradiction
Two young girls have fun in an ice skating rink.,The girls are playing badminton at the lake.,2,People in an ice skating rink are generally not playing badminton.,contradiction
Men are working in some vegetation beside a brick structure.,Men are sitting in some vegetation beside a stecco structure.,2,The men are either sitting or working.,contradiction
A woman wearing glasses puts her hand on the shoulder of a young child as they sit at a flat wooden surface.,The child is standing on a rock.,2,A child either sits on a surface or is standing on a rock.,contradiction
Young girl getting ready to rock climb.,A girl is putting her rock climbing equipment away.,2,A girl wouldn't be getting ready to rock climb if she is putting her equipment away.,contradiction
"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.","A person is naked, sleeping in their bed.",2,A person can not be naked and dressed simultaneously.,contradiction
Two boxers compete while spectators watch tensely from the background.,Two boxers are boxing.,0,Two boxers compete with each other while spectators watch.,entailment
A young boy in an orange shirt is smiling as he runs in a city scene.,A boy is acting in a commercial for the city.,1,Sentence 1 does not tell you that the boy is acting or that he is doing a commercial.,neutral
A man holds a guitar on a busy street while people look on.,a man is sitting on the corner watching people play the guitar,2,People can either be watching or playing the guitar. Either the man has the guitar or the other people.,contradiction
"A smiling Asian girl dressed in a wide-brimmed hat, red jacket, and white gloves is sitting by and touching round orange produce.",The girl is holding a shopping basket.,1,Sitting and touching does not imply holding a basket.,neutral
Bystanders cheer the closing ceremony of a soccer match.,People cheering at the ending of a great soccer match,1,The soccer match could have been something other than great.,neutral
"Two young women in a lab, doctor's office or classroom filling vials.",Two young women preparing for the day at the office.,1,It's not apparent they are preparing for the day.,neutral
Two women dressed with scarves over their heads look angrily at the photographer.,The women are naked.,2,Either the women are dressed or they are naked. They cannot be both at the same time.,contradiction
Blurry picture of mountain biker descending rocky trail.,The roller blader struggles up the hill.,2,"There is a mountain biker, not a roller blader. The biker is descending a rocky trail, not going up the hill.",contradiction
A man in an orange vest leans over the rails of a railroad track.,A man in an orange vest is sitting on a train track.,2,Leaning and sitting are different body positions.,contradiction
Two black men standing in front of a light pole.,Two black men are talking.,1,Standing does not imply talking.,neutral
A group of anime cosplayers gather for a photo.,There are some fans in costume.,0,Cosplayers implies in costume.,entailment
A man wearing no shirt and many large feathers on his head is looking into a shoe store.,The shirtless man is going to the shoe store.,1,He's not is not necessarily shirtless,neutral
"Foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",Foreign folk singers are singing songs to make money to travel the world.,2,They should be either dancers or singers or dancers and singers.,contradiction
A band consisting of one female and three males plays during the day.,The siblings are in a band together.,1,You can not  they are in a band.,neutral
A woman in a white and tan striped dress sits in the lap of a man with a tan collared shirt.,The woman is dating the man.,1,A woman  sitting in the lap of a man doesn't necessarily mean she is dating him.,neutral
Two police officers talking to young man on a bench.,a young man assaults two police officers and resists arrest,2,"If the police officers are talking to a young man on a bench, then he can't be assaulting them.",contradiction
"Two go-carts with riders, one wearing a white and the other a black helmet.",The two cart riders have different colored helmets.,0,two cart riders wearing the different colored helmets.,entailment
Dog digs in sand,An animal digging,0,The animal is a dog.,entailment
A young man in black takes a jump off a wooden bike ramp.,A young male in black on a bike jumps off a wooden bike ramp.,1,The young man might no be on a bike.,neutral
a white dog jumping into a pool.,a blue dog jumping into a pool.,2,Blue and white are different.,contradiction
A big tan dog runs on grass with a big stick in his mouth.,A dog is playing with his owner.,1,Just because the dog is running with a big stick does not mean that the owner is playing with the dog.,neutral
A young man who is running as part of a competition team.,A young man is moving fast.,0,a man who is running is obviously moving fast,entailment
A man in a black t-shirt is standing next to a parking meter.,A man is sitting at his desk,2,A man standing at a parking meter cannot be sitting at a desk.,contradiction
A man with headphones holds a microphone.,A man is playing piano.,2,a man loves to play piano,contradiction
A Ukrainian man in costume performs a dance on stage.,A costumed Ukranian man performs a dance on stage.,0,A Ukrainian man in costume means the same thing as a costumed Ukrainian man.,entailment
A woman and her son are playing outside by a kiddie pool.,The mother and her child are playing tag by the pool outside.,1,The son isn't necessarily her child,neutral
A female street vendor is standing inside her kiosks which appears to sell a variety of foreign and handmade snacks.,Woman vendor selling snacks on the street.,0,A woman is female.,entailment
A girl climbing a rope wall.,A girl is climbing a wall.,0,a rope and climbing are related,entailment
Five young men sitting on a picnic table in the park.,One young man plays solitaire.,2,"One is singular, five is plural.",contradiction
A man sitting on the edge of a tree lined walk.,A man is running.,2,You cannot be sitting and running simultaneously as they are different from each other.,contradiction
A boy in a green shirt watches kayakers.,"The boy watches from the ground below as his parents jump from the plane, skydiving for the first time.",2,Kayakers don't typically go skydiving while kayaking.,contradiction
Workers at an International Freestyle Motocross press conference.,the workers made the food,2,The workers are either at an International Freestyle Motocross press conference or are making food.,contradiction
A bicyclist riding on a city street.,A man riding the bike down the street.,1,Not all bicyclist is a man.,neutral
A man wearing a blue shirt and matching helmet is jumping his bike over a hill.,A man in a green shirt rides his motorcycle.,2,He can't have two shirts on that is a blue shirt and a green shirt and  happen to match the helmet unless it's talking about a different man.,contradiction
A woman stands with a plastic bag.,A woman is holding a bag.,0,"If the woman stands with the bag, she is holding it.",entailment
"A young girl has a green plastic bib,girl in purple is in the kitchen behind her.",A young girl has a bib.,0,There's a girl that has a bib,entailment
A group of people gather in front of plastic statues.,A group of people are gathered in front of plastic statues.,0,If people gather they also gathered,entailment
Four boys are surrounding a person sitting in a chair and splashing their head with pink paint.,The paint is non-toxic.,1,Just because paint is pink it does not mean it is non-toxic.,neutral
A man wearing jeans and carrying a backpack is walking down a paved walkway.,A man is wearing clothes.,0,"The phrase ""a man is wearing clothes"" is just a rephrasing of ""man wearing jeans"".",entailment
A man without a shirt wearing black jogging shorts and a woman in a black t-shirt and red shorts jog together through a park.,The couple are enjoying a leisurely jog through the park on a nice day.,1,You can not infer they are a couple.,neutral
A white woman sits and reads while surrounded by six young black children.,No one in the room was white.,2,There cannot be a white woman in the room yet also no one white in the room.,contradiction
People running in a marathon in running clothes.,People are moving in exercise clothes,0,People are moving or running in a marathon.,entailment
A middle-aged man sits in an industrial workspace reading a newspaper.,A man is reading a newspaper.,0,Man in both.,entailment
Four tattooed women jump and pose in front of a black background.,a background is nearby.,1,To pose in front of a background does imply that the background is nearby.,neutral
"A woman wearing headphones is performing aerobic exercise in a home setting on a piece of exercise equipment, with other exercise equipment visible in the background.",This woman is a professional bodybuilder.,1,Not all woman performing exercise are professional bodybuilders.,neutral
A man dressed in white plays a guitar.,a man plays the banjo,2,A man is either playing the guitar or the banjo.,contradiction
A girl making a sad face standing in front of her tricycle,A girl is sad because her tricycle is broken.,1,Just because a girl is sad standing in front of her tricycle does not mean that the tricycle is broken.,neutral
Two people kiss on s path.,The couple were kissing on a road.,0,"If two people, a couple, are kissing on the path (which is a road) we can say that the couple were kissing on a road",entailment
Two dogs shaking off water droplets on a beach.,Two dogs attempt to dry their coats by shaking after a swim.,1,"You cannot infer that the dogs are attempting to dry their coats off just because they are shaking off water droplets. Also the dogs could be shaking off water that came from rain, not necessarily a swim.",neutral
A man in a gingham apron is cleaning desks.,a man is cleaning,0,a man is cleaning is the same as a man is cleaning,entailment
"A group of people are standing outside at a carnival, near a ride called the Green Jungle.",They are preparing to take the ride.,1,Standing near a ride does not mean they are preparing to take the ride.,neutral
Woman plays clarinet in front of two microphones.,There are three microphones,2,There can be either two or three microphones.,contradiction
A group of people are standing in a warehouse.,The people are outside in the sun.,2,People are either standing in a warehouse or are outside in the sun.,contradiction
The black and brown dogs play in the snowy field.,The dog does not like the coldness of the snow.,2,The dogs would not play in snow if they don't like it.,contradiction
A young boy lies almost prone on a structure resembling a whale.,The boy is not walking,0,The boy lies so that means he is not walking.,entailment
a baby in a car seat wearing overalls.,Two men eating pizza.,2,There can either be two men or a baby.,contradiction
A man with dark curly hair playing a guitar next to a Coke machine.,The man plays for tips next to the coke machine.,1,A man playing guitar doesn't necessarily mean he is accepting tips for his playing.,neutral
A man in jeans and sandals sits outside near trees and a goose and plays a string instrument.,A man is near wildlife playing an instrument.,0,A goose is an example of wildlife.,entailment
A woman is looking at rows of shoes.,A woman is looking at shoes,0,Multiple shoes go in a row of shoes. .,entailment
A woman rides a bike on a dirt path.,A woman is riding a bike.,0,rides a bike means she is riding,entailment
A man wearing a white hard hat and orange vest is working in a dusty environment.,A man wearing a  hard hat and orange vest is working in a dusty environment.,0,a man wearing a hard hat and orange vest is working in a dusty environment is the same as a man wearing a hard hat and orange vest is working in a dusty environment,entailment
"A basketball player hangs from a basketball hoop by his feet, laughing and talking to a referee in front of a crowd.",A basketball player doesn't hang from a basketball hoop,2,There can either be a basketball player hanging from the hoop or a player that doesn't hang from the hoop.,contradiction
Black dog swimming in water.,The dog is in water.,0,The dog must be in water if it is swimming.,entailment
A man in a crowded kitchen watching as his girlfriend prepares some food.,They are inside.,0,prepares food in kitchen is inside,entailment
This is a man who is DJ-ing at a DJ booth.,The man is playing music.,0,THE MAN KNOWS MUSIC,entailment
Young Asian girl on mothers shoulders claps her hands.,A mother is running after her child.,2,The mother has to be two different people because someone can't be running or have someone on their shoulders at the same time,contradiction
Three Arabic men riding on the back of a car going through a market area.,Three men in a city.,0,A market area is usually in a city,entailment
A dolphin above water,A dolphin is in space.,2,Space is nowhere near water.,contradiction
Two small dogs run through the grass.,two small dogs are chasing a bird in the grass,1,The dogs can be running without chasing a bird.,neutral
A professor or student presents himself in front of other students.,He is naked.,1,One would not assume that a professor in front of his students would be naked.,neutral
A female lacrosse player in blue chasing another in white who is moving away with the ball.,The two teams are fighting for the championship trophy,1,Not all players are fighting for the championship trophy.,neutral
One person is wearing a green shirt while sleeping on the sidewalk while another person wearing black pants is sleeping on the stairs.,The two people are sitting at a table.,2,Sleeping on the sidewalk and stairs are not the same as sitting at a table.,contradiction
A man with long hair and a mustache sits on a milk crate and plays the guitar.,The man has short hair.,2,Short and long are opposites.,contradiction
A street vendor is gathering bread and pretzels to sell.,The vendor is selling food.,0,Gather bread and pretzels to sell your selling food,entailment
Man sitting down and scratching his eye.,A man is sitting.,0,Sentence 2 simply restates Sentence 1 in that a man is sitting.,entailment
"Five people stand on a bridge while one of the people, a balding man in a brown shirt and jeans, points away from the bridge.",A group of people are sitting in chairs looking at each other.,2,People cannot stand and be sitting the same time.,contradiction
A man in a blue shirt is talking to someone unseen while next to him a woman in a pink sweater closes her eyes.,A wife is waiting for her husband to stop talking.,1,The man and woman are not necessarily husband and wife and the woman is not necessarily waiting for anyone to stop talking.,neutral
Two men on a canoe are throwing a net into a lake.,The two men are outside.,0,The two mean are on a canoe on a lake which is outside.,entailment
Two gentlemen in suits talk while enjoying a drink.,People talking.,0,Gentlemen are people.,entailment
"A black and white dog, with a red cap on its head, yawning.",The dog is the same color as piano keys.,0,The dog may be a black and white dog.,entailment
Salmon on cedar planks on a grill.,A man is killing fish for fun.,2,If the salmon is on the grill it has already been killed.,contradiction
Two people in a tent near a rock wall.,two humans in a tent,0,People are humans.,entailment
A man stands in the rain outside Swan restaurant.,a man standing in the rain,0,To stand in the rain outside is a form of standing in the rain.,entailment
"A black man, dumping a bowl of meat into a grinder in a poor looking country.",The man is making hamburger.,1,"In sentence 1, the man is not necessarily making hamburger. The type of meat and his goal are unclear.",neutral
2 rodeo riders on horses chasing a bull,There are three or more animals.,0,horses and a bull imply three or more animals,entailment
People are sitting on a train or subway.,The people are standing.,2,People cannot be sitting and standing simultanely.,contradiction
A lab worker in protective gear examining something with a small light.,A lab worker is holding a small light.,1,You can not infer the worker is holding the light.,neutral
3 couples in white clothes are playing piggyback.,A man rides a bike,2,"3 couples are 6 people, a man is one person. People cannot normally ride a bike while playing piggyback.",contradiction
"A little girl is petting her white, fluffy cat.",The cat is hairless.,2,A cat cannot be hairless and fluffy at the same time.,contradiction
An old couple facing away from the camera walk down a garden path.,An old couple is married.,1,The old couple may not be married.,neutral
three children play in the snow in an urban area.,A group of children play in an urban area in the snow.,0,Three children are a group.,entailment
"A group of children, riding bikes, wait on the edge of a skateboarding bowl, while a woman in a white shirt pushes a child in a stroller and a man in a woman sit in brown lawn chairs.",Children riding camels,2,bikes are not animals but camels are,contradiction
A young boy in a green shirt wearing a blue harness stares at a white dog in a red harness while taking a walk.,There is a boy being walked on a harness and paying attention to his surroundings; a dog is also walked on a harness.,0,A young boy wearing a harness would be walked on a harness and A dog in a red harness would also be walked on a harness.,entailment
A fashionably dressed woman holding a record in a frame at a used bookstore.,A woman holding a framed record.,0,record in a framed mean the same thing as framed record.,entailment
"A girl in a red top and wearing a brown head wrap is sitting next to a wall, facing away from the camera.",A boy stands in field and smiles for the camera.,2,"A girl sitting and a boy who stands refer to two different people of different gender, doing a separate activity.",contradiction
Six men sit at a table drinking beer and conversing with one another.,A group of men are riding their horses.,2,cant be drinking beer and riding horses at the same time,contradiction
A man in blue clothing and a white turban rides a white horse past a vivid green tree and a orange and white house with purple fixtures.,"A man rides off with his beloved, carrying her on his noble stallion.",2,The man cannot both ride a horse alone and also carry his beloved.,contradiction
"Three men are dressed in strange costumes, two are carrying musical instruments.",Three men dressed in costume.,0,Costumes can be seen as strange,entailment
Two men in martial arts clothing are kneeling before racks of weapons.,Two girls in tutus are dancing.,2,martial arts is not dancing and they are either men or girls.,contradiction
This photo invites amazon turkers to gripe about first world problems.,Amazon Turkers never gripe about anything!,2,What is the point of inviting them to gripe if the never gripe? That would be the contradiction,contradiction
Three men work to moor a large boat to the dock.,Three men are working outside.,0,A large boat could only be located outside.,entailment
A man with a blue jacket and a red hat smiling on his way to work.,The man is unhappy.,2,"Generally, when someone is smiling, he or she is not unhappy.",contradiction
Three children enjoying treats at an outdoor event.,Three children enjoying treats.,1,The children are not necessarily enjoying.,neutral
Singer sits down while performing.,The singer is running across the stage.,2,Singer sits down across the stage.,contradiction
A man in a blue jackets sits on a stool.,The man wears a bright green jacket.,2,The blue jacket is not green.,contradiction
"The two young children are in black and white face paint and costumes while riding in a stroller, they are being pushed by a man also in face paint and a costume",Children are going for a ride.,0,"The children are riding, and ride is a different form of the verb.",entailment
two men cleaning the outside windows of a yacht,Two guys are painting a car.,2,It's either a car or a yacht.,contradiction
People walking on a street.,They walk outdoors,0,Walking on a street requires you to be walking outdoors.,entailment
A bird perches in an empty window frame.,The shade is drawn,2,The bird is either in a window frame or window shade.,contradiction
Two people standing near a large waterfall.,There are two people going over the waterfall in a barrel.,2,If you're standing near a waterfall you're going over in a barrel.,contradiction
Bright kites are being flown with a mountain background.,bright birds are flying with a mountain background,2,"While both things are flying, kites are inanimate objects and birds are living creature.",contradiction
A girl in a white dress is looking down as she twirls around to the camera.,She is the only one in the picture.,1,A girl in a white dress is not necessarily the only one.,neutral
"A man and a woman, both dressed in blue, are laying tile.",People are working.,0,Man working in both.,entailment
A man is cutting shaving another man's hair in an area with a dirt floor.,A man is cutting and  shaving a man outside.,1,Just because a man is cutting and shaving another man doesn't mean they are outside.,neutral
"A child in a red sweatshirt, jeans, and black bike helmet and a dog pose for a picture outdoors.",The helmet is white.,2,The helmet cannot be both white and black.,contradiction
A man in a blue shirt is talking to someone in a blue shirt over a table filled with medical supplies.,A man is wearing a blue shirt,0,"""In a blue shirt"" means ""wearing a blue shirt"".",entailment
A man on a bike and two women are in front of a green building.,The building is a bank.,1,A bank is not always a green building.,neutral
A flaming red-haired middle-aged woman with pale skin is standing in front of a brick wall.,A woman is sleeping.,2,Standing and sleeping cannot be done simultaneously.,contradiction
A young adult male shaving his face with the razor running down his neck.,The woman is shaving her legs.,2,"It has to be either a man or a woman, and it must be either the neck or legs that are being shaved, not both.",contradiction
A small boy in a red coat is on a man holding a dog's shoulders.,The boy is wearing a coat.,0,It is implied that the boy is wearing a coat if he is in it.,entailment
A man in a green jacket is looking after a black horse.,A man wearing blue takes his dogs to the dog park.,2,"Looking after a horse and walking dogs are different activities, they cannot be done at the same time.",contradiction
There are people feeding sheep and a dog is herding them.,people are eager to eat sheep,2,People can be either feeding their sheep or be eager to eat them.,contradiction
People relax in a food and drink establishment while viewing something off-camera.,People are viewing something on camera.,2,The people are viewing something on camera or off-camera.,contradiction
A woman in a pink skirt is holding a baby.,A woman is holding two puppies in her hands.,2,A baby and two puppies are two different things.,contradiction
Two friends waiting to board the tour bus.,Friends are partying with e new band,1,Just because two friends are waiting to board the tour bus doesn't mean they are partying with new band.,neutral
"A man is driving a piece of heavy machinery, laying tar on a road.",A person on a road.,0,"A man is a person.  Machinery for laying tar on a road is typically so heavy that, if it weren't on the road, it would sink into the ground.",entailment
"A dad holding his son, who is watching a goat, a mom with her daughter is standing right next to them looking into the goat pen.",A family is standing close to an animal.,0,a dad  and son are considered a family,entailment
A brown and white dog is playing with a toy in a field of green grass and clover.,A dog is licking a child in the kitchen.,2,dog cannot lick a child  and play with a toy at same time.,contradiction
A man on a motorcycle is towing a bicyclist on his bicycle behind him.,A woman on a motorcycle is racing beside a man on a bicycle.,2,A man isn't a woman.,contradiction
"Guy riding his bike, carrying a red back, past Excalibur Group building.",The guy and girl are walking.,2,The guy is either riding his bike or walking.,contradiction
"A young female wearing a red and white striped shirt, and blue leggings is suspended in air with legs outstretched while holding onto black poles.",She has a spotter in case she falls.,1,There may not have a spotter,neutral
A photo of a couple walking down the street with Chinese characters written on the signage.,A photo of a couple walking down a street with Chinese characters written on it.,0,it refers t signage,entailment
A mountain climber reaches the top of a cliff.,"A mountain climber forgot his gear, so he stayed at the cabin.",2,There is no cabin at the top of a cliff.,contradiction
A little girl walks on a boardwalk with blue domes in the background.,the girl is asleep,2,One cannot be asleep and walk on a boardwalk at the same time.,contradiction
A model is posing for a photo shoot.,The model is female.,1,Not all models posing for a photo shoot are female.,neutral
The boy is in the air with a machine with wheels.,A boy is in the air.,0,"A boy is in the air is the same as ""a boy is in the air.""",entailment
A group of four girls meets with a group of elderly women.,The girls are sleeping.,2,A group of girls either meets with women or they are sleeping but not both simultaneously.,contradiction
A group of people stand in front of a large apartment building.,A bunch of people congregate in front of an apartment building.,0,A people stand in front congregate apartment building,entailment
A man swings a golf club while the person to his left waves an arm.,A person plays tennis.,2,The man/person would not be swinging a golf club while playing tennis. A man is a person but a person is not necessarily a man.,contradiction
A man in a center of travel is carrying many things.,"During our airport visit, we saw this man with many rolls of toilet paper.",1,Airports are not the only type of travel centers. The man could be carry other things besides toilet paper.,neutral
A caravan of snowmobile travel through the snow.,Some men are snowmobiling.,1,"The caravan may contain men, women, and children, it is not explicitly just men.",neutral
This is an aged middle-eastern man looking to his right while wearing a white robe with gold embroidery.,The man is wearing white.,0,"the man is wearing a white robe,essentially implying he is wearing white.",entailment
"A young woman with blond-hair, wearing a short-sleeve gray shirt and blue jean shorts, prepares food for a barbecue.",A woman is adding onions into her ground beef for her future burgers.,1,the food is not necessarily  burgers,neutral
"Two small girls, one in a blue and violet dress, the other in a red striped outfit are painting with red and yellow on a piece of canvas in the street.",Two children paint on a canvas for an art contest.,1,"Just because they paint on a piece of canvas in the street, ti does not mean that they are participating in an art contest.",neutral
Two people grip the bar of a red structure.,People are holding onto something.,0,people grip the bar of a red structure means people are holding onto something,entailment
Two young men one in a yellow sweatshirt and the other has no top on they are tossing a piece of green material.,Two men are sleeping.,2,The two men cannot be sleeping and tossing a piece of green material.,contradiction
Young man preparing to take a dive in the pool.,A man stands outside the pool.,0,A man preparing to take a dive should stand first outside.,entailment
A woman takes a picture along side a group.,A person takes a selfie.,1,Just because a woman is taking a picture doesn't mean its a selfie.,neutral
People sitting in a dining room.,They are outside.,2,Outside is not the same as in a room,contradiction
Football players in the middle of a game.,The players are trying to get home runs.,2,There are no home runs in football.,contradiction
A woman in a traditional yellow dress walks along a street carrying a bucket of greens with a large blue bag balanced atop her head.,A woman is going home from shopping,1,"Every woman carrying a bucket of greens is not always going to her home, nor was she necessarily shopping.",neutral
A brown dog is running across the yard with its toy in its mouth.,A dog is running across the yard with its toy in its mouth.,0,A brown dog is still a dog.,entailment
A man and two women are seated outside on a wall next to a sheet of water with a tall white structure in the background.,People are sitting down.,0,"A man and two women can be referred to as people, and seated means to be sitting down.",entailment
Three men grilling on a front porch.,Three men are grilling.,0,Grilling is normally done on a front porch.,entailment
A man in a black jacket with a hood is cleaning the windows of a building while being suspended over the city.,The man is a professional window cleaner.,1,Not all man is a professional window cleaner.,neutral
A man in an orange shirt and hard hat is hanging outside of a building.,The man is swimming in an ocean.,2,A man  hanging outside of a building cannot be swimming in an ocean.,contradiction
Homeless people are by a building with graffiti painted on it.,Homeless people are by a soup kitchen.,2,Homeless people cannot be in a soup kitchen while they are standing by a building with graffiti painted on it.,contradiction
A young black man in sunglasses is smiling broadly.,The black man has a grin on his face.,0,smiling  implies   grin,entailment
"Three different figures (a white man, a black man, and an Asian woman) stand behind three outdated identical phone booths.",Three people preparing to cook an expensive dinner for guests.,2,1. Three different figures are specific gender and nationalities  -vs-  2. three people could be any combination of gender and nationality.,contradiction
A man rides a dirt bike in the brush.,A person rides a dirt bike.,0,A man is a person.,entailment
